year,taxon,genus,supercategory,importer,exporter
2003,Panthera tigris,Panthera,Animal part,DEU,AND
2010,Panthera tigris,Panthera,Live,ESP,AND
2010,Panthera tigris,Panthera,Live,ESP,AND
2010,Panthera tigris,Panthera,Live,ESP,AND
2010,Panthera leo,Panthera,Live,ESP,AND
2017,Lynx lynx,Lynx,Live,FRA,AND
2013,Lynx rufus,Lynx,Product,USA,AND
2014,Lynx canadensis,Lynx,Product,USA,AND
2013,Lynx rufus,Lynx,Unknown,USA,AND
1998,Panthera tigris altaica,Panthera,Live,USA,AND
2011,Panthera leo,Panthera,Trophy,USA,AND
2015,Caracal caracal,Caracal,Animal part,ARM,ARE
2009,Acinonyx jubatus,Acinonyx,Live,ARM,ARE
2009,Acinonyx jubatus,Acinonyx,Live,ARM,ARE
2009,Panthera onca,Panthera,Live,ARM,ARE
2009,Panthera pardus,Panthera,Live,ARM,ARE
2010,Acinonyx jubatus,Acinonyx,Live,ARM,ARE
2010,Panthera onca,Panthera,Live,ARM,ARE
2010,Panthera pardus,Panthera,Live,ARM,ARE
2010,Panthera leo,Panthera,Live,ARM,ARE
2010,Panthera leo,Panthera,Live,ARM,ARE
2011,Acinonyx jubatus,Acinonyx,Live,ARM,ARE
2011,Acinonyx jubatus,Acinonyx,Live,ARM,ARE
2011,Neofelis nebulosa,Neofelis,Live,ARM,ARE
2011,Panthera leo,Panthera,Live,ARM,ARE
2012,Acinonyx jubatus,Acinonyx,Live,ARM,ARE
2012,Neofelis nebulosa,Neofelis,Live,ARM,ARE
2015,Panthera tigris,Panthera,Animal part,ARM,ARE
2015,Panthera tigris,Panthera,Trophy,ARM,ARE
2015,Panthera tigris,Panthera,Animal part,AUT,ARE
2015,Panthera tigris,Panthera,Animal part,AUT,ARE
2015,Uncia uncia,Uncia,Animal part,AUT,ARE
2015,Uncia uncia,Uncia,Animal part,AUT,ARE
2015,Uncia uncia,Uncia,Animal part,AUT,ARE
2015,Uncia uncia,Uncia,Animal part,AUT,ARE
2012,Acinonyx jubatus,Acinonyx,Trophy,AUT,ARE
2012,Acinonyx jubatus,Acinonyx,Trophy,AUT,ARE
2012,Panthera tigris,Panthera,Trophy,AUT,ARE
2003,Acinonyx jubatus,Acinonyx,Live,AUS,ARE
2010,Panthera tigris,Panthera,Animal part,BEL,ARE
1992,Felis margarita,Felis,Live,BEL,ARE
1992,Felis margarita,Felis,Live,BEL,ARE
2010,Acinonyx jubatus,Acinonyx,Unknown,BEL,ARE
2011,Acinonyx jubatus,Acinonyx,Unknown,BEL,ARE
2014,Lynx rufus,Lynx,Product,BGR,ARE
2010,Caracal caracal,Caracal,Animal part,BHR,ARE
2014,Caracal caracal,Caracal,Animal part,BHR,ARE
2010,Catopuma temminckii,Catopuma,Product,BHR,ARE
1993,Panthera pardus,Panthera,Live,BHR,ARE
2010,Panthera tigris,Panthera,Live,BHR,ARE
2010,Panthera leo,Panthera,Live,BHR,ARE
2011,Acinonyx jubatus,Acinonyx,Live,BHR,ARE
2011,Panthera pardus,Panthera,Live,BHR,ARE
2014,Panthera tigris,Panthera,Live,BHR,ARE
2014,Panthera tigris,Panthera,Live,BHR,ARE
2016,Panthera leo,Panthera,Live,BHR,ARE
2010,Panthera pardus,Panthera,Animal part,BHR,ARE
2010,Panthera tigris,Panthera,Animal part,BHR,ARE
2010,Leptailurus serval,Leptailurus,Animal part,BHR,ARE
2014,Panthera tigris,Panthera,Animal part,BHR,ARE
2012,Acinonyx jubatus,Acinonyx,Trophy,BHR,ARE
2015,Panthera pardus,Panthera,Live,BRN,ARE
2011,Caracal caracal,Caracal,Animal part,BTN,ARE
2011,Caracal caracal,Caracal,Animal part,BTN,ARE
2014,Caracal caracal,Caracal,Animal part,BTN,ARE
2014,Caracal caracal,Caracal,Animal part,BTN,ARE
2011,Panthera tigris,Panthera,Unknown,BTN,ARE
2011,Panthera tigris,Panthera,Trophy,BTN,ARE
2014,Panthera tigris,Panthera,Trophy,BTN,ARE
2014,Panthera tigris,Panthera,Trophy,BTN,ARE
2008,Lynx canadensis,Lynx,Product,CAN,ARE
2008,Lynx rufus,Lynx,Product,CAN,ARE
1978,Panthera leo,Panthera,Live,CHE,ARE
1983,Panthera tigris,Panthera,Animal part,CHE,ARE
1995,Panthera leo,Panthera,Animal part,CHE,ARE
2003,Leopardus wiedii,Leopardus,Animal part,CHE,ARE
2003,Prionailurus bengalensis,Prionailurus,Animal part,CHE,ARE
2005,Acinonyx jubatus,Acinonyx,Unknown,CHE,ARE
2007,Acinonyx jubatus,Acinonyx,Unknown,CHE,ARE
2007,Panthera pardus,Panthera,Unknown,CHE,ARE
2007,Caracal caracal,Caracal,Unknown,CHE,ARE
2007,Felis silvestris,Felis,Unknown,CHE,ARE
2008,Acinonyx jubatus,Acinonyx,Unknown,CHE,ARE
2008,Panthera pardus,Panthera,Unknown,CHE,ARE
2008,Felis margarita,Felis,Unknown,CHE,ARE
2008,Felis silvestris,Felis,Unknown,CHE,ARE
2009,Acinonyx jubatus,Acinonyx,Unknown,CHE,ARE
2009,Felis silvestris,Felis,Unknown,CHE,ARE
2001,Felis silvestris,Felis,Live,CZE,ARE
2002,Felis silvestris,Felis,Live,CZE,ARE
2003,Felis silvestris,Felis,Live,CZE,ARE
2007,Lynx rufus,Lynx,Product,DEU,ARE
2013,Lynx canadensis,Lynx,Product,DEU,ARE
2014,Lynx canadensis,Lynx,Product,DEU,ARE
2014,Lynx rufus,Lynx,Product,DEU,ARE
2014,Lynx rufus,Lynx,Product,DEU,ARE
2015,Lynx canadensis,Lynx,Product,DEU,ARE
2015,Lynx canadensis,Lynx,Product,DEU,ARE
2015,Lynx rufus,Lynx,Product,DEU,ARE
2015,Lynx rufus,Lynx,Product,DEU,ARE
2016,Lynx canadensis,Lynx,Product,DEU,ARE
2016,Lynx rufus,Lynx,Product,DEU,ARE
2016,Lynx rufus,Lynx,Product,DEU,ARE
2017,Lynx rufus,Lynx,Unknown,DEU,ARE
1989,Felis silvestris,Felis,Live,DEU,ARE
1990,Felis silvestris,Felis,Live,DEU,ARE
1993,Neofelis nebulosa,Neofelis,Live,DEU,ARE
1993,Neofelis nebulosa,Neofelis,Live,DEU,ARE
1998,Felis silvestris,Felis,Live,DEU,ARE
1998,Felis silvestris,Felis,Live,DEU,ARE
2006,Acinonyx jubatus,Acinonyx,Live,DEU,ARE
2012,Panthera tigris,Panthera,Live,DEU,ARE
2009,Panthera pardus,Panthera,Animal part,DEU,ARE
2008,Neofelis nebulosa,Neofelis,Unknown,DEU,ARE
2009,Panthera leo,Panthera,Unknown,DEU,ARE
2011,Acinonyx jubatus,Acinonyx,Unknown,DEU,ARE
2011,Caracal caracal,Caracal,Unknown,DEU,ARE
2011,Panthera pardus,Panthera,Unknown,DEU,ARE
2011,Caracal caracal,Caracal,Unknown,DEU,ARE
2011,Felis margarita,Felis,Unknown,DEU,ARE
2011,Felis silvestris,Felis,Unknown,DEU,ARE
2013,Acinonyx jubatus,Acinonyx,Unknown,DEU,ARE
2013,Acinonyx jubatus,Acinonyx,Unknown,DEU,ARE
2014,Acinonyx jubatus,Acinonyx,Unknown,DEU,ARE
2011,Leptailurus serval,Leptailurus,Animal part,DJI,ARE
2011,Caracal caracal,Caracal,Unknown,DJI,ARE
2012,Caracal caracal,Caracal,Live,DNK,ARE
2016,Caracal caracal,Caracal,Animal part,EGY,ARE
1998,Panthera tigris,Panthera,Live,EGY,ARE
1998,Panthera leo,Panthera,Live,EGY,ARE
2010,Panthera tigris,Panthera,Live,EGY,ARE
